"","state","total_enrolled","women_enrollment_perc","minority_enrollment_perc","native_american_enrollment_perc","asian_enrollment_perc","black_enrollment_perc","hispanic_enrollment_perc","pac_island_enroll_perc","white_enrollment_perc","two_more_races_enroll_perc","nonresident_enroll_perc","tuition_4yr_public","tuition_4yr_private","tuition_2yr_public","state_funds","change_in_state_funds","need_based_grants","non_need_based_grants","non_grant_aid","total_aid","all_grad_rates","men_grad_rates","women_grad_rates","native_american_grad_rates","asian_grad_rates","black_grad_rates","hispanic_grad_rates","white_grad_rates","two_more_races_grad_rates","public_doctor_prof_avg_salary","public_doctor_assoc_avg_salary","public_doctor_assist_avg_salary","public_doctor_all_avg_salary","public_masters_prof_avg_salary","public_masters_assoc_avg_salary","public_masters_assist_avg_salary","public_masters_all_avg_salary","other_4yr_avg_salary","other_2yr_avg_salary"
"39","Pennsylvania","702,766",56.6,27,0.2,5.8,10.1,7.6,0.1,61.9,3.3,6.6,15640,40809,5335,1829911000,-0.8,389518000,3232000,23465000,416216000,70.1,67.2,72.6,56,78.5,49,61.6,72.5,62.4,154621,103398,84480,104804,113493,90794,73098,89103,82233,69010
"40","Rhode Island","80,077",57.1,28.4,0.3,4.7,6.9,13,0.1,58.2,3.5,5.6,13020,43335,4700,206717996,-3,10031000,0,0,10031000,73.9,72.1,75.1,51.6,83.4,64.7,66.8,75,72.4,131994,98948,89372,100873,94907,80712,66890,81556,NA,61974
"41","South Carolina","241,572",59.4,33.8,0.3,1.9,22.4,5.5,0.1,61.1,3.4,2.2,12398,26569,4892,1298482508,-0.3,71620000,347468000,2172000,421261000,62.2,58.6,65.1,48.6,73.2,43.1,59.5,68.7,55.6,140984,97034,91116,99689,92142,75899,65093,73402,71922,52951
"42","South Dakota","51,941",55,16.3,5.3,1.4,3.2,3.6,0.1,78.7,2.6,3.3,8921,26236,6504,258864361,-2.1,203000,6203000,651000,7057000,54.3,50.4,58.3,16.7,46.8,32.4,35.1,57.6,44.3,109155,82737,76005,79225,90755,71845,61419,67296,79273,60239
"43","Tennessee","323,086",59.3,29.4,0.3,2.8,17.7,5.4,0.1,65.5,3.2,2.5,10139,29918,4379,2186458446,-0.5,110024000,314480000,29809000,454313000,56.4,51.8,60.2,47.7,73.3,39.2,57.1,60.1,55,118164,86817,76491,86390,86986,71541,62499,70789,133878,57849
"44","Texas","1,657,691",57.6,60.5,0.3,6.3,11.8,39.1,0.1,33.6,2.8,3.8,8374,36339,2356,8056984035,1.7,1021650000,0,180963000,1202613000,57.6,52.9,61.5,47.8,71.2,39.7,50.6,65.6,59.5,141769,95374,84712,94802,101714,83673,71030,75300,87063,64010
"45","Utah","381,283",57.8,22.8,0.7,2.8,4.6,10.6,0.6,70.3,3.5,1.9,6719,7390,3929,1212585600,-1.1,2080000,17171000,159637000,178888000,55.2,46.3,60.5,26.7,65.6,19.4,44,59.1,52.9,147758,105386,89507,105490,95008,77430,70366,73885,65586,60926
"46","Vermont","41,186",54.8,15.5,0.3,2.8,3.4,5.4,0.1,75.8,3.5,3.8,16972,44372,6654,125150893,28,20809000,83000,562000,21454000,70.3,66.2,74.6,50,76.3,62.7,68.4,70.9,65.9,128078,98226,84561,96501,70228,61551,50636,61931,62547,NA
"47","Virginia","557,368",57.4,38.3,0.3,6.7,17.9,9,0.2,51.7,4.2,3.5,13603,22862,5240,2475376047,7.6,493839000,91608000,258569000,844016000,68.7,65.3,71.4,48.5,78.9,50.8,62.9,73.7,64.8,162793,108500,88920,111773,99429,80250,71945,80424,113226,68195
"48","Washington","363,019",56.2,35.7,0.9,9.5,4.2,13.2,0.6,49.6,7.4,6.1,7147,40280,4417,2475329000,11.2,373272000,12445000,18013000,403730000,69,66.1,71.3,37.3,76.9,50.7,60.4,70.2,66.2,154026,111650,104673,115434,115987,95381,80779,86727,68984,68874
"49","West Virginia","139,159",51,21.6,0.4,1.7,9.2,6.5,0.4,70.7,3.4,2.7,8134,26679,4322,528096960,1.9,41416000,47769000,34312000,123497000,49.8,46.9,52.8,26.2,50.4,32.7,43.6,52.2,47.2,113696,87837,76705,93324,74640,65814,57057,61890,61942,57323
"50","Wisconsin","332,856",56.2,21.1,0.7,4.2,5.2,7.9,0.1,72.9,3,3.7,8674,34633,4478,1593319600,1.1,122298000,3822000,8935000,135055000,66,63.3,68.2,40,64.5,40.7,54.3,68.3,58.1,136866,96240,89098,107179,78652,67648,68216,67114,78905,80530
"51","Wyoming","32,373",54.1,15.6,1.4,0.9,1.2,8.9,0.2,74.5,3.1,2.7,4747,NA,4137,383462985,-1.6,18110000,0,0,18110000,59.8,55.9,63.2,28.6,78.6,28.6,54.1,59.9,69,119824,89584,83689,90835,NA,NA,NA,NA,NA,62052
